Data ora,Casa (kWh),Da Powerwall (kWh),Energia solare (kWh),Da rete (kWh),A rete (kWh)
2023-07-01T00:00:00+02:00,0.0,0.0,0.0,0.0,0.0
2023-07-02T00:00:00+02:00,0.0,0.0,0.0,0.0,0.0
2023-07-03T00:00:00+02:00,0.0,0.0,0.0,0.0,0.0
2023-07-04T01:00:00+02:00,3.4,0.7,15.9,0.8,1.3
2023-07-05T01:00:00+02:00,2.2,1.1,15.2,0.0,11.8
2023-07-06T01:00:00+02:00,4.8,2.0,9.8,0.0,4.5
2023-07-07T01:00:00+02:00,3.3,1.3,16.0,0.0,12.3
2023-07-08T01:00:00+02:00,6.0,2.1,16.4,0.0,9.8
2023-07-09T01:00:00+02:00,34.4,10.8,15.8,8.9,0.0
2023-07-10T01:00:00+02:00,12.1,1.7,15.4,8.4,1.4
2023-07-11T01:00:00+02:00,3.4,1.5,15.9,0.0,10.9
2023-07-12T01:00:00+02:00,4.6,1.8,14.8,0.0,9.8
2023-07-13T01:00:00+02:00,3.8,1.9,13.0,0.0,8.5
2023-07-14T01:00:00+02:00,3.6,2.0,16.6,0.0,12.8
2023-07-15T01:00:00+02:00,6.9,2.8,16.1,0.0,8.4
2023-07-16T01:00:00+02:00,22.5,9.6,15.9,0.0,0.0
2023-07-17T01:00:00+02:00,0.2,0.2,0.0,0.0,0.0
2023-07-18T01:00:00+02:00,11.1,8.4,15.2,0.0,10.2
2023-07-19T01:00:00+02:00,9.6,3.4,13.8,0.0,0.0
